RLP,0,0,1,1,1,3,1,1,0,0,0,1,2,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,1,1
BFA,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
RMP,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
AJR,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0
VLJ,0,0,1,1,2,0,1,1,1,1,2,1,0,1,1,0,1,0,2,0,0,1,0,2,2,2,0,0,0,0
MGB,0,1,0,0,2,1,1,0,0,1,0,1,2,1,2,0,2,0,2,1,0,0,2,0,2,0,1,2,0,1
RPM,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1
PSM,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0
