RLP,1,2,2,2,2,1,2,0,2,2,1,2,0,2,2,0,1,2,2,2,1,1,1,1,2,1,0,0,3,0,1
BFA,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
RMP,2,2,1,1,2,1,1,1,2,2,0,0,1,1,2,0,1,0,0,0,0,1,1,0,0,0,1,1,,,
AJR,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,
VLJ,2,0,3,1,2,0,3,1,0,0,1,2,2,1,2,0,3,1,0,0,0,1,1,1,2,1,1,0,0,0,1
MGB,1,1,1,0,2,0,1,1,1,0,2,0,2,1,1,2,1,1,1,1,2,1,1,1,0,1,0,0,1,0,2
RPM,1,0,1,1,0,1,1,1,0,1,0,1,2,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
PSM,1,1,1,1,1,0,0,1,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
