RLP,2,1,2,1,0,0,2,1,2,0,2,1,0,1,2,1,0,2,2,1,0,1,1,2,2,1,2,1,0,1,1
BFA,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,2
RMP,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
AJR,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
VLJ,0,0,0,1,1,1,2,0,1,2,0,1,1,1,0,1,1,0,0,2,1,2,0,1,1,1,1,0,2,1,3
MGB,1,1,1,1,1,2,0,1,1,0,2,0,1,0,2,1,1,2,1,0,1,0,1,2,0,0,2,2,2,1,1
RPM,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2
PSM,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1
