RLP,1,0,0,0,0,2,2,2,2,2,2,1,0,1,3,0,1,2,2,2,0,2,3,2,0,1,2,3,0,1,2
BFA,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
RMP,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0
AJR,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
VLJ,1,0,2,1,1,0,4,0,2,3,1,1,0,1,1,0,0,0,0,1,0,2,1,2,1,3,0,1,2,2,1
MGB,0,0,2,1,1,2,0,1,1,1,1,1,1,1,0,1,1,3,1,0,1,1,0,1,1,0,1,2,1,1,1
RPM,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,1,0,1,0
PSM,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,2
AGN,3,2,1,0,0,1,2,0,0,0,1,0,2,1,2,1,0,0,1,2,2,1,1,1,1,1,0,2,0,1,1
