RLP,1,1,1,1,1,2,0,1,1,3,1,1,1,1,0,1,1,1,3,0,0,1,0,1,0,1,1,0,0,2,1
BFA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
RMP,0,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1
AJR,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1
VLJ,0,1,0,1,1,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,2,1,0
MGB,1,1,2,1,0,2,1,1,1,1,2,0,2,1,1,2,0,1,1,0,1,0,1,2,2,2,0,1,0,2,0
RPM,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1
PSM,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
