RLP,1,2,0,0,0,0,1,0,2,0,1,0,1,1,0,0,1,0,1,1,3,1,0,0,2,1,0,1,2,1,1
BFA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0
RMP,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,2,2,1
AJR,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,2,1,0,2,0,0,1,0
VLJ,1,1,2,1,0,0,1,0,3,2,0,1,0,0,0,3,1,1,0,1,0,0,0,2,1,2,0,0,0,0,0
MGB,2,0,2,0,0,1,1,0,0,2,0,2,0,1,1,2,1,2,2,0,1,1,1,2,1,1,1,1,0,2,0
RPM,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,2,0,0,0
PSM,2,0,1,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
