RLP,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,1,4,2,2,2,0,0,2,1,3,1,1,2,2
BFA,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
RMP,1,0,2,0,1,1,0,2,1,1,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AJR,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
VLJ,0,3,3,1,1,1,0,0,1,2,0,0,1,2,3,0,1,2,0,1,0,0,1,3,2,1,1,3,0,1
MGB,1,0,1,1,2,0,0,0,1,0,1,1,1,1,1,0,3,1,1,0,0,0,0,2,0,1,0,3,1,0
RPM,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
PSM,1,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2
AGN,2,1,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0,0,0,3,1,2,2,1,2
