RLP,1,2,3,2,0,0,0,0,0,0,0,4,1,3,1,2,1,3,1,0,0,0,1,2,1,1,1,1,0,1,2
BFA,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
RMP,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,3,0
AJR,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
VLJ,0,0,1,1,2,1,2,0,2,1,1,2,0,1,0,2,0,2,1,0,0,0,0,1,2,1,1,0,0,1,0
MGB,2,2,1,1,1,1,0,0,1,1,2,1,2,1,0,1,1,0,0,2,0,1,1,1,0,1,1,2,0,2,0
RPM,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
PSM,0,0,0,0,1,1,2,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
