RLP,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,1,0,0,2,1,0
MGB,0,0,0,2,0,1,2,1,1,1,0,0,1,1,2,1,1,1,1,0,0,1,2,0,2,1,1,1,0,1,0
VLJ,2,1,0,2,1,1,2,0,0,0,0,0,1,0,4,0,2,2,0,0,1,1,0,1,1,1,3,1,0,0,2
RMP,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPM,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,2,0,1,1,0,1,1
PSM,0,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
BFA,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AJR,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AGN,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCT,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,2,1,0,0
