RLP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00-03,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-12,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
